GEOID,geometry,NAME,variable,value,moe,Year,short_label,SE,CoV
53033002000,"list(list(c(-122.317438, -122.317406, -122.317338, -122.317338, -122.317238, -122.317338, -122.317338, -122.317338, -122.317338, -122.313237, -122.313138, -122.311937, -122.309937, -122.307737, -122.305737, -122.305237, -122.305337, -122.305437, -122.302937, -122.309438, -122.309438, -122.311938, -122.317438, -122.317438, 47.69922, 47.698368, 47.69762, 47.69672, 47.69572, 47.69402, 47.69212, 47.69032, 47.68842, 47.68842, 47.69022, 47.69022, 47.69022, 47.69032, 47.69202, 47.69302, 47.69392, 47.69572, 
47.70022, 47.70032, 47.70122, 47.70122, 47.70122, 47.69922)))","Census Tract 20, King County, Washington",B25064_001,1080,245,2009,Median Gross Rent,148.9494238183835,0.1379161331651699
53033002100,"list(list(c(-122.302037, -122.302937, -122.305437, -122.305337, -122.305237, -122.305737, -122.307737, -122.306637, -122.301237, -122.301137, -122.297137, -122.297137, -122.295937, -122.294837, -122.290537, -122.290537, -122.290437, -122.290437, -122.290437, -122.290437, -122.290537, -122.299737, -122.301009, -122.302037, 47.70102, 47.70022, 47.69572, 47.69392, 47.69302, 47.69202, 47.69032, 47.69032, 47.69002, 47.68952, 47.68922, 47.69012, 47.69012, 47.69012, 47.69012, 47.69222, 47.69382, 47.69462, 
47.69742, 47.70012, 47.70102, 47.70112, 47.701078, 47.70102)))","Census Tract 21, King County, Washington",B25064_001,909,44,2009,Median Gross Rent,26.750100604117854,0.029428053469876626
53033002200,"list(list(c(-122.290537, -122.290437, -122.290437, -122.290437, -122.290437, -122.290537, -122.290537, -122.282936, -122.282636, -122.282036, -122.279836, -122.279736, -122.279836, -122.279736, -122.279036, -122.275136, -122.274236, -122.272836, -122.268836, -122.268836, -122.267836, -122.266636, -122.266136, -122.266036, -122.265245, -122.264236, -122.267336, -122.266436, -122.231835, -122.243935, -122.254136, -122.272336, -122.271836, -122.276636, -122.276821, -122.277536, -122.277536, -122.277837, 
-122.278037, -122.280637, -122.281737, -122.285037, -122.286637, -122.290537, -122.290537, 47.70102, 47.70012, 47.69742, 47.69462, 47.69382, 47.69222, 47.69012, 47.69022, 47.69122, 47.69142, 47.69012, 47.68662, 47.68472, 47.68292, 47.68292, 47.68292, 47.68292, 47.68252, 47.68252, 47.68372, 47.68372, 47.68252, 47.68252, 47.68432, 47.68462, 47.68462, 47.69032, 47.69032, 47.69012, 47.69222, 47.69782, 47.69732, 47.69462, 47.69612, 47.696367, 47.69732, 47.70102, 47.70442, 47.70502, 47.70452, 47.70452, 
47.70462, 47.70462, 47.70472, 47.70102)))","Census Tract 22, King County, Washington",B25064_001,1322,396,2009,Median Gross Rent,240.75090543706068,0.18211112362863893
53033002400,"list(list(c(-122.282936, -122.290537, -122.294837, -122.295937, -122.295837, -122.295837, -122.294837, -122.292637, -122.290437, -122.288337, -122.287537, -122.286337, -122.285036, -122.279736, -122.279836, -122.279736, -122.279836, -122.282036, -122.282636, -122.282936, 47.69022, 47.69012, 47.69012, 47.69012, 47.68652, 47.68292, 47.68292, 47.68292, 47.68292, 47.68292, 47.68292, 47.68292, 47.68292, 47.68292, 47.68472, 47.68662, 47.69012, 47.69142, 47.69122, 47.69022)))","Census Tract 24, King County, Washington",B25064_001,1177,103,2009,Median Gross Rent,62.61955368691225,0.053202679428132754
53033002500,"list(list(c(-122.297137, -122.301137, -122.301237, -122.306637, -122.306537, -122.306537, -122.306537, -122.306537, -122.306537, -122.306437, -122.306437, -122.302637, -122.300537, -122.300637, -122.300637, -122.300637, -122.300637, -122.299637, -122.295837, -122.295837, -122.295937, -122.297137, -122.297137, 47.68922, 47.68952, 47.69002, 47.69032, 47.68652, 47.68472, 47.68292, 47.68102, 47.67922, 47.67742, 47.67532, 47.67532, 47.67522, 47.67562, 47.67742, 47.67922, 47.68292, 47.68292, 47.68292, 
47.68652, 47.69012, 47.69012, 47.68922)))","Census Tract 25, King County, Washington",B25064_001,1430,177,2009,Median Gross Rent,107.60835924838318,0.07525060087299523
53033002600,"list(list(c(-122.309937, -122.311937, -122.313138, -122.313237, -122.317338, -122.317238, -122.317438, -122.317438, -122.317238, -122.317337, -122.317237, -122.311837, -122.310637, -122.306437, -122.306437, -122.306537, -122.306537, -122.306537, -122.306537, -122.306537, -122.306637, -122.307737, -122.309937, 47.69022, 47.69022, 47.69022, 47.68842, 47.68842, 47.68652, 47.68292, 47.68222, 47.68002, 47.67792, 47.67552, 47.67542, 47.67542, 47.67532, 47.67742, 47.67922, 47.68102, 47.68292, 47.68472, 
47.68652, 47.69032, 47.69032, 47.69022)))","Census Tract 26, King County, Washington",B25064_001,1182,112,2009,Median Gross Rent,68.09116517411817,0.0576067387259883
53033002700,"list(list(c(-122.344339, -122.344338, -122.344338, -122.344338, -122.344338, -122.344322, -122.339038, -122.337838, -122.336638, -122.334338, -122.331538, -122.329538, -122.329338, -122.328238, -122.326838, -122.323738, -122.322838, -122.322807, -122.322804, -122.322738, -122.322638, -122.320538, -122.320374, -122.320138, -122.317438, -122.317238, -122.317338, -122.317338, -122.320138, -122.322738, -122.324138, -122.328138, -122.328538, -122.329338, -122.329238, -122.330938, -122.333038, -122.333638, 
-122.337938, -122.339038, -122.340238, -122.344439, -122.344339, 47.68692, 47.68612, 47.68542, 47.68472, 47.68172, 47.681267, 47.68502, 47.68562, 47.68552, 47.68362, 47.68252, 47.68262, 47.68312, 47.68312, 47.68312, 47.68302, 47.68302, 47.683299, 47.683322, 47.68402, 47.68522, 47.68302, 47.68302, 47.68302, 47.68292, 47.68652, 47.68842, 47.69032, 47.69032, 47.69032, 47.69032, 47.69042, 47.69042, 47.69142, 47.69032, 47.69042, 47.69042, 47.69042, 47.69042, 47.69052, 47.69052, 47.69052, 47.68692)))","Census Tract 27, King County, Washington",B25064_001,1165,80,2009,Median Gross Rent,48.63654655294155,0.04174810862913438
53033002800,"list(list(c(-122.355039, -122.355139, -122.355139, -122.355139, -122.355139, -122.355139, -122.354139, -122.349939, -122.347339, -122.345438, -122.344322, -122.344338, -122.344338, -122.344338, -122.344338, -122.344339, -122.344439, -122.347039, -122.349839, -122.355039, -122.355039, 47.68752, 47.68612, 47.68462, 47.68392, 47.68172, 47.67952, 47.67952, 47.67952, 47.67952, 47.67942, 47.681267, 47.68172, 47.68472, 47.68542, 47.68612, 47.68692, 47.69052, 47.69052, 47.69052, 47.69052, 47.68752)))","Census Tract 28, King County, Washington",B25064_001,1244,204,2009,Median Gross Rent,124.02319371000095,0.09969710105305543
53033002900,"list(list(c(-122.360439, -122.363039, -122.365839, -122.365839, -122.365839, -122.365839, -122.365739, -122.365839, -122.365939, -122.365839, -122.365839, -122.365939, -122.365839, -122.362339, -122.361239, -122.360339, -122.357339, -122.355139, -122.355139, -122.355139, -122.355139, -122.355139, -122.355039, -122.355039, -122.357839, -122.360439, 47.69062, 47.69062, 47.69062, 47.68912, 47.68762, 47.68692, 47.68622, 47.68462, 47.68392, 47.68322, 47.68172, 47.68142, 47.67942, 47.67952, 47.67952, 47.67952, 
47.67952, 47.67952, 47.68172, 47.68392, 47.68462, 47.68612, 47.68752, 47.69052, 47.69062, 47.69062)))","Census Tract 29, King County, Washington",B25064_001,931,263,2009,Median Gross Rent,159.89264679279535,0.17174290740364698
53033003000,"list(list(c(-122.367039, -122.370339, -122.37384, -122.37654, -122.38104, -122.38214, -122.38214, -122.38214, -122.38214, -122.38214, -122.38224, -122.38114, -122.38094, -122.37964, -122.37894, -122.376739, -122.373339, -122.372839, -122.372439, -122.371839, -122.370239, -122.365839, -122.365939, -122.365839, -122.365839, -122.365939, -122.365839, -122.365739, -122.365839, -122.365839, -122.365839, -122.365839, -122.367039, 47.69072, 47.690619, 47.690619, 47.690619, 47.690619, 47.690619, 47.688519, 
47.686819, 47.685019, 47.683119, 47.679919, 47.680019, 47.679519, 47.679419, 47.679419, 47.67952, 47.67952, 47.67952, 47.67952, 47.67952, 47.67952, 47.67942, 47.68142, 47.68172, 47.68322, 47.68392, 47.68462, 47.68622, 47.68692, 47.68762, 47.68912, 47.69062, 47.69072)))","Census Tract 30, King County, Washington",B25064_001,1167,223,2009,Median Gross Rent,135.57437351632458,0.11617341346728756
