Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Queen Anne,2555 Westlake Ave N,Seattle,WA,98109,1926,2,Substantial Alteration,Other Mixed Uses,11-100,Google Street View,POINT (-122.344633 47.643757)
Medium Risk,Ballard,5239 Ballard Ave NW,Seattle,WA,98107,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.383052 47.666331)
Medium Risk,Belltown,2303 Western Ave,Seattle,WA,98121,1908,3,Permitted Retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.347765 47.612946)
Medium Risk,West Seattle Junction/Genesee Hill,4540 California Ave SW,Seattle,WA,98116,1929,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.386778 47.561627)
Medium Risk,Capitol Hill,111 Broadway E,Seattle,WA,98102,1927,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32087199999998 47.619241)
Medium Risk,Capitol Hill,1224 Madison St,Seattle,WA,98104,1924,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.323269 47.610133)
Medium Risk,Duwamish/SODO,655 S Edmunds St,Seattle,WA,98108,1930,1,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.32465700000002 47.559752)
Medium Risk,Capitol Hill,1514 Broadway,Seattle,WA,98122,1909,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.320803 47.614652)
Medium Risk,Ballard,5006 20th Ave NW,Seattle,WA,98107,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.382149 47.665738)
Medium Risk,Downtown,213 Cherry St,Seattle,WA,98104,1900,5,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.33245700000002 47.603337)
Medium Risk,Green Lake,7200 East Green Lake Dr N,Seattle,WA,98115,1927,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.32583300000002 47.680293)
Medium Risk,Ballard,923 NW 54th St,Seattle,WA,98107,0,1,No visible retrofit,Government,1-10,Permit Drawing Review,POINT (-122.36968 47.667874)
Medium Risk,Columbia City,4820 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.285522 47.558744)
High Risk,Whittier Heights,2006 NW 65th St,Seattle,WA,98117,1928,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.38288000000001 47.675973)
High Risk,Ballard,5215 Ballard Ave NW,Seattle,WA,98107,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.38254700000002 47.66588600000001)
High Risk,Downtown,83 Columbia St,Seattle,WA,98104,1914,4,No visible retrofit,Commercial/Office,101+,Sandborn Insurance Maps,POINT (-122.337014 47.602346)
Medium Risk,Queen Anne,900 Broad St,Seattle,WA,98109,1941,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.338839 47.625685)
Critical Risk,Central Area/Squire Park,2410 E Cherry St,Seattle,WA,98122,1902,3,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.300825 47.60800400000001)
Medium Risk,Ballard,5463 Leary Ave NW,Seattle,WA,98107,1950,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.384061 47.668301)
Medium Risk,First Hill,703 Columbia St,Seattle,WA,98104,1906,3,Visible retrofit,Office,11-100,Google Street View,POINT (-122.327968 47.606193)
Critical Risk,Cascade/Eastlake,1275 Mercer St,Seattle,WA,98109,1928,1,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.330826 47.624297)
Medium Risk,Fremont,3414 Fremont Ave N,Seattle,WA,98103,1909,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.349763 47.649704)
High Risk,Pioneer Square/Chinatown International District,80 S Jackson St,Seattle,WA,98104,1900,5,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.334593 47.599221)
Medium Risk,Belltown,1921 2nd Ave,Seattle,WA,98101,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.341256 47.611419)
Medium Risk,Laurelhurst/Sand Point,7737 62nd Ave NE,Seattle,WA,98115,1930,1,No visible retrofit,Government,1-10,Department of Neighborhoods,POINT (-122.262187 47.682067)
Medium Risk,Duwamish/SODO,1701 1st Ave S,Seattle,WA,98134,1910,3,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.334218 47.587845)
Medium Risk,Univ Dist,5810 Cowen Pl NE,Seattle,WA,98105,1928,4,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.312542 47.671624)
Critical Risk,Wallingford,4811 Wallingford Ave N,Seattle,WA,98103,1910,3,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.33642099999999 47.663928)
Medium Risk,Ballard,2220 NW Market St,Seattle,WA,98107,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.385792 47.668703)
Medium Risk,Downtown,1201 2nd Ave,Seattle,WA,98101,1900,2,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,POINT (-122.336431 47.606595)
High Risk,Univ Dist,5009 Roosevelt Way NE,Seattle,WA,98105,1909,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.31740399999998 47.665239)
Medium Risk,Cascade/Eastlake,2330 3rd Ave,Seattle,WA,98121,1918,1,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34589900000002 47.615354)
Medium Risk,Univ Dist,4549 18th Ave NE,Seattle,WA,98105,1926,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.308376 47.662782)
Medium Risk,Capitol Hill,1617 Yale Ave,Seattle,WA,98101,1925,6,Permitted Retrofit,Residential,101+,Google Street View,POINT (-122.328117 47.615925)
High Risk,Queen Anne,129 1st Ave N,Seattle,WA,98109,1926,1,Permitted Retrofit,Public Assembly,101+,Photos from Previous Surveys,POINT (-122.355452 47.619433)
Medium Risk,Pioneer Square/Chinatown International District,213 S Main St,Seattle,WA,98104,1900,1,No visible retrofit,Vacant,11-100,Field Visit,POINT (-122.330663 47.60005)
Medium Risk,Capitol Hill,605 E Denny Way,Seattle,WA,98122,1927,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.323707 47.61848)
Medium Risk,Judkins Park,2000 S Jackson St,Seattle,WA,98144,1914,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.30604 47.599268)
Medium Risk,Queen Anne,2215 Queen Anne Ave N,Seattle,WA,98109,1922,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.356937 47.638588)
Medium Risk,Cascade/Eastlake,1814 Minor Ave,Seattle,WA,98101,1905,3,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.331068 47.617142)
Medium Risk,Duwamish/SODO,3200 4th Ave S,Seattle,WA,98134,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.329096 47.575099)
Medium Risk,Belltown,1918 1st Ave,Seattle,WA,98101,1909,6,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.34165999999999 47.610474)
High Risk,Capitol Hill,309 E Harrison St,Seattle,WA,98102,1928,6,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32752000000002 47.621998000000005)
Medium Risk,Greenwood/Phinney Ridge,8516 Greenwood Ave N,Seattle,WA,98103,1925,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.355308 47.690754000000005)
Medium Risk,North Beacon Hill/Jefferson Park,800 Rainier Ave S,Seattle,WA,98144,1925,1,No visible retrofit,Commercial,1-10,Sandborn Insurance Maps,POINT (-122.31131000000002 47.59558)
Medium Risk,Queen Anne,822 Queen Anne Ave N,Seattle,WA,98109,1915,4,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.356731 47.626972)
Medium Risk,First Hill,1317 Boren Ave,Seattle,WA,98101,1925,5,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.327573 47.611967)
High Risk,Capitol Hill,801 E Pine St,Seattle,WA,98122,1915,3,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.321746 47.615253)
High Risk,Pioneer Square/Chinatown International District,124 S Washington St,Seattle,WA,98104,1900,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.33317199999999 47.600884)
Medium Risk,Columbia City,5701 Rainier Ave S,Seattle,WA,98118,1924,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.277605 47.551042)
High Risk,Capitol Hill,500 Broadway E,Seattle,WA,98102,1906,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.320938 47.623367)
Critical Risk,Pioneer Square/Chinatown International District,522 7th Ave S,Seattle,WA,98104,1929,2,Permitted Retrofit,Schools,101+,Google Street View,POINT (-122.32376000000001 47.597685)
High Risk,Belltown,2222 2nd Ave,Seattle,WA,98121,1923,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.345079 47.61367700000001)
Medium Risk,Greenwood/Phinney Ridge,7219 Greenwood Ave N,Seattle,WA,98103,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.35530000000001 47.681404)
High Risk,Capitol Hill,1500 Bellevue Ave,Seattle,WA,98122,1910,3,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32684900000001 47.614325)
Medium Risk,Capitol Hill,1406 Harvard Ave,Seattle,WA,98122,1908,2,Visible retrofit,Residential,11-100,Field Visit,POINT (-122.32210800000001 47.613186)
High Risk,Pioneer Square/Chinatown International District,75 S Main St,Seattle,WA,98104,1900,4,Permitted Retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.335149 47.600044)
Critical Risk,West Seattle Junction/Genesee Hill,4142 42nd Ave SW,Seattle,WA,98116,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.38542100000001 47.565720000000006)
Medium Risk,South Beacon Hill/New Holly,7762 Beacon Ave S,Seattle,WA,98118,1935,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.288593 47.53253)
Medium Risk,Downtown,606 2nd Ave,Seattle,WA,98104,1900,6,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.33278 47.602606)
Medium Risk,Belltown,115 Blanchard St,Seattle,WA,98121,1910,4,Visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.344733 47.612969)
Medium Risk,Univ Dist,4522 Brooklyn Ave NE,Seattle,WA,98105,1925,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.31425900000002 47.661978)
Critical Risk,Magnolia,2418 28th Ave W,Seattle,WA,98199,1927,2,Substantial Alteration,Schools,101+,Google Street View,POINT (-122.393013 47.640585)
Medium Risk,Central Area/Squire Park,2018 E Union St,Seattle,WA,98122,1930,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.30524600000001 47.612916)
Medium Risk,Ravenna/Bryant,2906 NE 55th St,Seattle,WA,98105,1930,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.295739 47.668522)
Medium Risk,Ravenna/Bryant,3412 NE 65th St,Seattle,WA,98115,1945,1,No visible retrofit,Public Assembly,11-100,White Card Permit Records,POINT (-122.29086400000001 47.675775)
Medium Risk,Capitol Hill,1521 15th Ave,Seattle,WA,98122,1910,4,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.31278899999998 47.614814)
Critical Risk,Central Area/Squire Park,172 20th Ave,Seattle,WA,98122,1920,3,Visible retrofit,Schools,101+,Field Visit,POINT (-122.30633900000001 47.603072)
High Risk,Downtown,1413 3rd Ave,Seattle,WA,98101,1907,3,Visible retrofit,Public Assembly,101+,Google Street View-Rosettes,POINT (-122.337296 47.609181)
High Risk,Beacon Hill,5840 Airport Way S,Seattle,WA,98108,1903,4,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.318155 47.550502)
Medium Risk,First Hill,423 Terry Ave,Seattle,WA,98104,1911,5,Substantial Alteration,Residential,11-100,Google Street View,POINT (-122.322831 47.605129)
Medium Risk,Ballard,5135 Ballard Ave NW,Seattle,WA,98107,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit,POINT (-122.381791 47.665211)
Medium Risk,Capitol Hill,1736 Summit Ave,Seattle,WA,98122,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32531 47.617757)
Medium Risk,Miller Park,317 18th Ave E,Seattle,WA,98112,1916,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.30874199999998 47.621061)
Medium Risk,Cascade/Eastlake,2008 Westlake Ave,Seattle,WA,98121,1907,3,Visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.337905 47.61549)
Medium Risk,Duwamish/SODO,3300 Airport Way S,Seattle,WA,98134,1957,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.321448 47.573888)
Medium Risk,Pioneer Square/Chinatown International District,723 S King St,Seattle,WA,98104,1910,4,Substantial Alteration,Commercial,101+,Google Street View,POINT (-122.322826 47.598368)
Medium Risk,Ballard,5425 Russell Ave NW,Seattle,WA,98107,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.382957 47.668505)
High Risk,Green Lake,7400 Woodlawn Ave NE,Seattle,WA,98115,1918,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.32692900000002 47.68238)
Medium Risk,Univ Dist,4306 University Way NE,Seattle,WA,98105,1923,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.313165 47.660041)
High Risk,Downtown,606 1st Ave,Seattle,WA,98104,1892,6,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.33412100000001 47.60221)
Medium Risk,Belltown,2106 2nd Ave,Seattle,WA,98121,1919,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.343566 47.612755)
Medium Risk,Fremont,3640 Wallingford Ave N,Seattle,WA,98103,1920,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.33631500000001 47.651772)
Medium Risk,Cascade/Eastlake,508 Denny Way,Seattle,WA,98109,1919,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.347221 47.618567)
Medium Risk,West Seattle Junction/Genesee Hill,4480 Fauntleroy Way SW,Seattle,WA,98126,1946,1,Visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.37855400000001 47.563445)
Medium Risk,Capitol Hill,905 E Pike St,Seattle,WA,98122,1912,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.32035700000002 47.614083)
Medium Risk,Capitol Hill,1400 Broadway,Seattle,WA,98122,1911,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.320774 47.613093)
Medium Risk,First Hill,1203 James St,Seattle,WA,98104,1925,3,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.32122799999999 47.60703)
Medium Risk,Pioneer Square/Chinatown International District,501 S Jackson St,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.32728700000001 47.599212)
High Risk,Pioneer Square/Chinatown International District,119 1st Ave S,Seattle,WA,98104,1900,6,Visible retrofit,Office,101+,Field Visit,POINT (-122.334267 47.601049)
High Risk,Duwamish/SODO,100 S King St,Seattle,WA,98104,1907,6,Permitted Retrofit,Commercial/Office,101+,Field Visit,POINT (-122.333809 47.598282)
Medium Risk,Pioneer Square/Chinatown International District,304 Alaskan Way S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.33551799999998 47.599779)
Medium Risk,Columbia City,3806 S Ferdinand St,Seattle,WA,98118,1921,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.284563 47.557852)
High Risk,Duwamish/SODO,1518 1st Ave S,Seattle,WA,98134,1907,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.334221 47.589583)
Critical Risk,Univ Dist,2034 NE Skagit Ln,Seattle,WA,98195,1948,4,No visible retrofit,Schools,101+,University of Washington Facilities List,POINT (-122.305328 47.657393000000006)
Medium Risk,Georgetown,6124 12th Ave S,Seattle,WA,98108,1922,1,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.31733 47.547944)
Medium Risk,North Beacon Hill/Jefferson Park,1407 S Dearborn St,Seattle,WA,98144,1921,1,No visible retrofit,Office,1-10,Photos from Previous Surveys,POINT (-122.31342700000002 47.59582)
Medium Risk,Cascade/Eastlake,900 Thomas St,Seattle,WA,98109,1920,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.33939000000001 47.62088)
Medium Risk,Pioneer Square/Chinatown International District,410 8th Ave S,Seattle,WA,98104,1901,3,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.322461 47.598699)
Medium Risk,Central Area/Squire Park,820 18th Ave,Seattle,WA,98122,1904,2,No visible retrofit,Residential,1-10,Google Street View,POINT (-122.308896 47.60944)
Medium Risk,Fauntleroy/Seaview,7124 47th Ave SW,Seattle,WA,98136,1907,3,No visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.39309 47.538779)
Medium Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1900,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
High Risk,Pioneer Square/Chinatown International District,313 2nd Av Et S,Seattle,WA,98104,1905,4,Substantial Alteration,Office,101+,Permit Drawing Review,POINT (-122.33159200000001 47.60049)
Medium Risk,Belltown,2121 1st Ave,Seattle,WA,98121,1926,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.344666 47.612263)
Medium Risk,Fremont,1604 N 34th St,Seattle,WA,98103,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33838900000002 47.648052)
Medium Risk,Cascade/Eastlake,2045 Westlake Ave,Seattle,WA,98121,1909,3,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.337986 47.615902)
Medium Risk,First Hill,1006 Spring St,Seattle,WA,98104,1928,10,No visible retrofit,Residential,101+,Field Visit,POINT (-122.326629 47.609694000000005)
Medium Risk,Belltown,2221 3rd Ave,Seattle,WA,98121,1914,1,Permitted Retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.34424 47.61437200000001)
Medium Risk,Pioneer Square/Chinatown International District,207 1st Ave S,Seattle,WA,98104,1900,3,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.334269 47.600587)
Medium Risk,Capitol Hill,1414 Seneca St,Seattle,WA,98101,1918,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.322427 47.612447)
Medium Risk,Madrona/Leschi,1134 33rd Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Government,11-100,Google Street View,POINT (-122.290398 47.61268200000001)
Medium Risk,Georgetown,1210 S Bailey St,Seattle,WA,98108,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.316936 47.547856)
Medium Risk,Belltown,2006 2nd Ave,Seattle,WA,98121,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.342145 47.61193)
High Risk,Duwamish/SODO,419 Occidental Ave S,Seattle,WA,98104,1906,7,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.333264 47.59827)
High Risk,Pioneer Square/Chinatown International District,310 1st Ave S,Seattle,WA,98104,1900,4,Permitted Retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33413900000001 47.599783)
High Risk,Judkins Park,604 20th Ave S,Seattle,WA,98144,1911,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.30632700000001 47.597059)
Medium Risk,Duwamish/SODO,804 6th Ave S,Seattle,WA,98134,1924,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.32639299999998 47.595546)
Medium Risk,Ballard,4722 Ballard Ave NW,Seattle,WA,98107,1902,2,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.379711 47.663447)
Medium Risk,Capitol Hill,1629 Harvard Ave,Seattle,WA,98122,1940,6,No visible retrofit,Residential,101+,Google Street View,POINT (-122.322148 47.616057)
Medium Risk,Capitol Hill,725 E Denny Way,Seattle,WA,98122,1926,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.32239699999998 47.618761)
Medium Risk,Univ Dist,4105 Brooklyn Ave NE,Seattle,WA,98105,1927,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31440600000002 47.657037)
Medium Risk,Pioneer Square/Chinatown International District,1 Yesler Way,Seattle,WA,98104,1911,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.335681 47.601753)
High Risk,Queen Anne,1428 Queen Anne Ave N,Seattle,WA,98109,1930,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.356617 47.632069)
Medium Risk,Georgetown,6111 13th Ave S,Seattle,WA,98108,1929,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.316093 47.548223)
Medium Risk,Queen Anne,119 W Roy St,Seattle,WA,98119,1924,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.35891700000002 47.625713)
High Risk,North Capitol Hill,1400 E Prospect St,Seattle,WA,98112,1906,4,Substantial Alteration,Government,1-10,Field Visit,POINT (-122.31432000000001 47.628396)
Medium Risk,Queen Anne,1820 Queen Anne Ave N,Seattle,WA,98109,1927,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.356982 47.635357)
Medium Risk,Univ Dist,1115 NE 43rd St,Seattle,WA,98105,1929,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.315915 47.659836)
Medium Risk,Greenwood/Phinney Ridge,6001 Phinney Ave N,Seattle,WA,98103,1920,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.35436600000001 47.672645)
Medium Risk,Capitol Hill,222 Summit Ave E,Seattle,WA,98102,1927,4,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,POINT (-122.32532400000001 47.620362)
Critical Risk,Capitol Hill,1002 E Seneca St,Seattle,WA,98122,1922,1,Substantial Alteration,Schools,101+,Photos from Previous Surveys,POINT (-122.31897399999998 47.612194)
Medium Risk,Belltown,2204 1st Ave,Seattle,WA,98121,1910,4,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.345419 47.612713)
Medium Risk,Cascade/Eastlake,2226 3rd Ave,Seattle,WA,98121,1929,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.34437 47.614449)
Medium Risk,Downtown,1315 1st Ave,Seattle,WA,98101,1900,3,Substantial Alteration,Residential,101+,Permit Drawing Review,POINT (-122.338583 47.607234)
Medium Risk,Queen Anne,710 Taylor Ave N,Seattle,WA,98109,1920,1,No visible retrofit,Commercial,1-10,Photos from Previous Surveys,POINT (-122.346262 47.625755)
Medium Risk,Univ Dist,4137 University Way NE,Seattle,WA,98105,1908,3,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.313218 47.657956)
Medium Risk,Wallingford,809 NE 45th St,Seattle,WA,98105,1930,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31925000000001 47.661317)
Medium Risk,Queen Anne,109 John St,Seattle,WA,98109,1922,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.355065 47.619766)
Medium Risk,Greenwood/Phinney Ridge,7413 Greenwood Ave N,Seattle,WA,98103,1925,1,No visible retrofit,Commercial,101+,Sandborn Insurance Maps,POINT (-122.35530000000001 47.683064)
Medium Risk,Duwamish/SODO,617 S Dearborn St,Seattle,WA,98134,1915,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.325444 47.595842)
Critical Risk,Rainier Beach,4525 S Cloverdale St,Seattle,WA,98118,1924,2,Permitted Retrofit,Schools,101+,Photos (Rosettes) from Previous Surveys,POINT (-122.274682 47.526112)
Medium Risk,Belltown,2133 3rd Ave,Seattle,WA,98121,1928,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.343303 47.613821)
Medium Risk,Columbia City,4918 Rainier Ave S,Seattle,WA,98118,1920,1,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.284702 47.557142000000006)
Medium Risk,Queen Anne,319 Nickerson St,Seattle,WA,98109,1918,1,Visible retrofit,Commercial,11-100,Field Visit,POINT (-122.35058000000001 47.646497)
Medium Risk,North Capitol Hill,1132 10th Ave E,Seattle,WA,98102,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.320213 47.629653)
Medium Risk,Pioneer Square/Chinatown International District,411 2nd Av Et S,Seattle,WA,98104,1900,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.33148 47.600992)
Medium Risk,Green Lake,307 NE Maple Leaf Pl,Seattle,WA,98115,1922,2,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.32608399999998 47.680742)
Medium Risk,Univ Dist,4315 University Way NE,Seattle,WA,98105,1900,3,Visible retrofit,Commercial,101+,Google Street View,POINT (-122.313166 47.660014)
Medium Risk,Judkins Park,1300 S Dearborn St,Seattle,WA,98144,1932,1,Visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31556300000001 47.595819)
Medium Risk,Univ Dist,4338 University Way NE,Seattle,WA,98105,1909,3,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.31314300000001 47.660919)
High Risk,Capitol Hill,601 Broadway E,Seattle,WA,98102,1931,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.32095599999998 47.624513)
Medium Risk,Pioneer Square/Chinatown International District,605 S Main St,Seattle,WA,98104,1910,5,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.32597500000001 47.600025)
Medium Risk,Northgate/Maple Leaf,9412 Roosevelt Way NE,Seattle,WA,98115,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.31758300000001 47.69726)
High Risk,Downtown,114 Pike St,Seattle,WA,98101,1924,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.33934199999999 47.609116)
High Risk,Pioneer Square/Chinatown International District,108 S Washington St,Seattle,WA,98104,1900,4,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.333786 47.600901)
Medium Risk,South Park,8520 14th Ave S,Seattle,WA,98108,1936,1,No visible retrofit,Commercial,1-10,Sandborn Insurance Maps,POINT (-122.31489399999998 47.526649)
Medium Risk,Capitol Hill,1511 Boylston Ave,Seattle,WA,98122,1907,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,POINT (-122.323397 47.614523)
High Risk,Fremont,708 N 35th St,Seattle,WA,98103,1907,4,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.349276 47.650423)
Medium Risk,Columbia City,4869 Rainier Ave S,Seattle,WA,98118,1928,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.28525300000001 47.55822400000001)
Medium Risk,Ravenna/Bryant,2611 NE 55th St,Seattle,WA,98105,1923,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.29883200000002 47.668535)
Critical Risk,Cascade/Eastlake,914 Virginia St,Seattle,WA,98101,0,3,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.33521600000002 47.61679800000001)
Medium Risk,Belltown,1617 Post Al,Seattle,WA,98101,1908,3,Permitted Retrofit,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.34153400000001 47.609623)
High Risk,Wallingford,2115 N 45th St,Seattle,WA,98103,1920,1,No visible retrofit,Public Assembly,101+,Permit Drawing Review,POINT (-122.332927 47.661384)
Medium Risk,First Hill,124 13th Ave,Seattle,WA,98122,1918,4,Substantial Alteration,Residential,11-100,Google Street View,POINT (-122.314916 47.602474)
Medium Risk,Ravenna/Bryant,2111 NE 47th St,Seattle,WA,98105,1921,3,No visible retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.304948 47.663078)
