Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Queen Anne,2205 Queen Anne Ave N,Seattle,WA,98109,1928,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.356937 47.638682)
Medium Risk,Pioneer Square/Chinatown International District,512 Maynard Ave S,Seattle,WA,98104,1904,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.32508299999999 47.597848)
Medium Risk,Univ Dist,4525 University Way NE,Seattle,WA,98105,1914,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.31311899999999 47.662077)
Medium Risk,Downtown,1600 1st Ave,Seattle,WA,98101,1909,6,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.340907 47.609782)
Medium Risk,West Seattle Junction/Genesee Hill,4139 42nd Ave SW,Seattle,WA,98116,1927,3,Permitted Retrofit,Other Mixed Uses,1-10,Field Visit,POINT (-122.38543500000002 47.565104)
Medium Risk,Belltown,2224 2nd Ave,Seattle,WA,98121,1911,3,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.345295 47.613806)
Medium Risk,North Capitol Hill,1508 10th Ave E,Seattle,WA,98102,1923,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.320103 47.632674)
Medium Risk,Columbia City,4900 Rainier Ave S,Seattle,WA,98118,1901,3,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.28506700000001 47.557854)
Medium Risk,Belltown,1930 Post Al,Seattle,WA,98101,1901,5,Visible retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.342133 47.610193)
Medium Risk,Belltown,2320 1st Ave,Seattle,WA,98121,1888,4,No visible retrofit,Other Mixed Uses,11-100,Google Street View,POINT (-122.347233 47.613786)
Medium Risk,Greenwood/Phinney Ridge,7223 Aurora Ave N,Seattle,WA,98103,1926,1,No visible retrofit,Commercial,1-10,Google Street View,POINT (-122.344561 47.681434)
Medium Risk,Ravenna/Bryant,5520 Ravenna Ave NE,Seattle,WA,98105,0,1,No visible retrofit,Government,1-10,,POINT (-122.30402699999999 47.669461)
Critical Risk,Columbia City,4200 S Mead St,Seattle,WA,98118,1912,2,Permitted Retrofit,Schools,101+,Field Visit,POINT (-122.27873700000002 47.55042600000001)
Medium Risk,Ravenna/Bryant,2814 NE 55th St,Seattle,WA,98105,1925,1,No visible retrofit,Residential,1-10,Google Street View,POINT (-122.296555 47.668526)
Medium Risk,Belltown,2300 1st Ave,Seattle,WA,98121,1900,3,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.346712 47.613481)
High Risk,Capitol Hill,1727 Harvard Ave,Seattle,WA,98122,1923,3,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.32217799999998 47.617308)
High Risk,Downtown,1414 Alaskan Way,Seattle,WA,98101,1909,4,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.34135400000001 47.607489)
Medium Risk,Alki/Admiral,2124 California Ave SW,Seattle,WA,98116,1928,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.38638 47.58453)
Medium Risk,Wallingford,4512 Stone Way N,Seattle,WA,98103,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.342106 47.66191)
Medium Risk,Capitol Hill,219 Broadway E,Seattle,WA,98102,1918,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.32089200000001 47.620566)
High Risk,Pioneer Square/Chinatown International District,308 Occidental Ave S,Seattle,WA,98104,1908,5,Permitted Retrofit,Commercial/Office,101+,Field Visit,POINT (-122.33289200000002 47.599968)
Medium Risk,Duwamish/SODO,3207 1st Ave S,Seattle,WA,98134,1917,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.334209 47.575169)
High Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1920,1,No visible retrofit,Public Assembly,101+,Sandborn Insurance Maps,POINT (-122.321437 47.575484)
Medium Risk,Cascade/Eastlake,1255 Westlake Ave N,Seattle,WA,98109,1920,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.340985 47.63131)
Medium Risk,Beacon Hill,5919 Airport Way S,Seattle,WA,98108,1900,2,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.31738400000002 47.549728)
Medium Risk,Capitol Hill,1319 E Madison St,Seattle,WA,98122,1920,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.314858 47.61363)
Medium Risk,Cascade/Eastlake,917 Howell St,Seattle,WA,98101,1922,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33272400000001 47.615174)
Medium Risk,Univ Dist,4544 University Way NE,Seattle,WA,98105,1924,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.313107 47.662681000000006)
Medium Risk,Cascade/Eastlake,234 Dexter Ave N,Seattle,WA,98109,1933,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.342403 47.620122)
Critical Risk,Univ Dist,2103 NE Skagit Ln,Seattle,WA,98195,1896,4,Substantial Alteration,Schools,101+,Permit Drawing Review,
Medium Risk,Capitol Hill,1531 Belmont Ave,Seattle,WA,98122,1910,4,Permitted Retrofit,Residential,11-100,Field Visit,POINT (-122.32448299999999 47.61505)
Medium Risk,Downtown,1119 1st Ave,Seattle,WA,98101,1892,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.337381 47.605938)
Medium Risk,Ballard,5109 Ballard Ave NW,Seattle,WA,98107,1900,2,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.381218 47.664729)
Medium Risk,Queen Anne,232 1st Ave N,Seattle,WA,98109,1923,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.35544100000001 47.620355)
Medium Risk,Capitol Hill,1819 Bellevue Ave,Seattle,WA,98122,1929,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.32676100000002 47.618329)
Medium Risk,Ballard,5227 Leary Ave NW,Seattle,WA,98107,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit,POINT (-122.381609 47.666218)
Medium Risk,Central Area/Squire Park,2300 E Yesler Way,Seattle,WA,98122,1913,1,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,POINT (-122.301993 47.60167800000001)
Medium Risk,Belltown,2301 1st Ave,Seattle,WA,98121,1902,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.346807 47.613537)
High Risk,Duwamish/SODO,1014 1st Ave S,Seattle,WA,98134,1907,4,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.33423700000002 47.593638)
Medium Risk,Queen Anne,1735 Westlake Ave N,Seattle,WA,98109,1934,2,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.340432 47.634701)
Medium Risk,Downtown,627 1st Ave,Seattle,WA,98104,1908,3,Permitted Retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.334286 47.6026)
High Risk,Greenwood/Phinney Ridge,7800 Greenwood Ave N,Seattle,WA,98103,1922,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.355296 47.685477)
Medium Risk,Capitol Hill,615 Broadway E,Seattle,WA,98102,1931,1,No visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.32096 47.624766)
High Risk,Duwamish/SODO,3100 Airport Way S,Seattle,WA,98134,1890,4,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.321437 47.575484)
