GEOID,variable,value,moe,geometry,total,total_moe,Year,short_label,SE,CoV,censored_est
53033000600,severely_burdened,0.0010819667597688116,5.046873703621465e-4,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",289288,236319,2009,Population,3.068281347912524e-4,0.28358369794725824,0.0010819667597688116
53033000700,highly_burdened,0.0010197450291750782,6.429578827954653e-4,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",289288,236319,2009,Population,3.9089063747702984e-4,0.3833219346930678,0.0010197450291750782
53033000700,low_burden,0.0027584967229888555,0.0016903570144451477,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",289288,236319,2009,Population,0.0010276640953019091,0.3725449759419783,0.0027584967229888555
53033000700,severely_burdened,0.0013135698680899312,4.908603191143276e-4,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",289288,236319,2009,Population,2.9842188451994676e-4,0.22718386876054303,0.0013135698680899312
53033000800,highly_burdened,3.9061419761621637e-4,4.0444124885776416e-4,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",289288,236319,2009,Population,2.458828203500058e-4,0.629477427729314,3.9061419761621637e-4
53033000800,low_burden,3.3184922983324575e-4,0.0011614723044159822,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",289288,236319,2009,Population,7.061250225460028e-4,2.1278489116905006,NA
53033000800,severely_burdened,1.5555432648433395e-4,1.4518403805138054e-4,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",289288,236319,2009,Population,8.826562781787509e-5,0.5674263764483878,1.5555432648433395e-4
53033000900,highly_burdened,1.9357871740272668e-4,6.567849340447381e-4,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",289288,236319,2009,Population,3.992968877492194e-4,2.062710679699932,NA
53033000900,low_burden,3.9061419761621637e-4,0.00125826166311724,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",289288,236319,2009,Population,7.649687744247913e-4,1.958374219608841,NA
53033000900,severely_burdened,1.4172727524128204e-4,2.143192942669309e-4,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",289288,236319,2009,Population,1.3029687916008955e-4,0.9193493555722924,1.4172727524128204e-4
