GEOID,variable,value,moe,geometry,Year,short_label,SE,CoV,censored_est
53033000600,severely_burdened,313,146,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Population,88.76169745911832,0.2835836979524547,313
53033000700,highly_burdened,295,186,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Population,113.0799707355891,0.3833219346969122,295
53033000700,low_burden,798,489,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Population,297.2908908048552,0.3725449759459339,798
53033000700,severely_burdened,380,142,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Population,86.32987013147125,0.22718386876702962,380
53033000800,highly_burdened,113,117,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Population,71.13094933367702,0.629477427731655,113
53033000800,low_burden,96,336,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Population,204.27349552235452,2.127848911691193,NA
53033000800,severely_burdened,45,42,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Population,25.534186940294315,0.5674263764509848,45
53033000900,highly_burdened,56,190,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Population,115.51179806323618,2.062710679700646,NA
53033000900,low_burden,113,364,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Population,221.29628681588406,1.9583742196095935,NA
53033000900,severely_burdened,41,62,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Population,37.6933235785297,0.9193493555738951,41
53033001000,highly_burdened,103,117,"list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032))",2009,Population,71.13094933367702,0.6905917411036604,103
53033001000,low_burden,81,332,"list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032))",2009,Population,201.84166819470744,2.49187244684824,NA
53033001000,severely_burdened,66,59,"list(c(-122.300137, -122.301537, -122.301437, -122.302037, -122.301009, -122.299737, -122.290537, -122.290537, -122.290637, -122.290537, -122.290437, -122.291937, -122.292537, -122.299237, -122.300137, 47.71032, 47.70672, 47.70402, 47.70102, 47.701078, 47.70112, 47.70102, 47.70472, 47.70832, 47.71012, 47.71202, 47.71192, 47.71192, 47.71202, 47.71032))",2009,Population,35.869453082794394,0.5434765618605211,66
53033001100,highly_burdened,71,100,"list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842))",2009,Population,60.79568319117694,0.8562772280447456,71
53033001100,low_burden,261,241,"list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842))",2009,Population,146.51759649073642,0.5613701014970744,261
53033001100,severely_burdened,69,60,"list(c(-122.312138, -122.312138, -122.312038, -122.311938, -122.309438, -122.309438, -122.302937, -122.302037, -122.301437, -122.301537, -122.300137, -122.299237, -122.301637, -122.306138, -122.306938, -122.312338, -122.312138, 47.70842, 47.70672, 47.70392, 47.70122, 47.70122, 47.70032, 47.70022, 47.70102, 47.70402, 47.70672, 47.71032, 47.71202, 47.71202, 47.71222, 47.71222, 47.71222, 47.70842))",2009,Population,36.477409914706165,0.5286581147058864,69
53033001200,highly_burdened,851,395,"list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 47.70842, 
47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702))",2009,Population,240.14294860514892,0.2821891287957097,851
53033001200,low_burden,1054,495,"list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 47.70842, 
47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702))",2009,Population,300.93863179632586,0.2855205235259259,1054
53033001200,severely_burdened,612,153,"list(c(-122.333738, -122.333738, -122.331838, -122.330538, -122.329538, -122.328338, -122.328338, -122.322938, -122.322938, -122.320138, -122.317438, -122.311938, -122.312038, -122.312138, -122.312138, -122.312338, -122.317738, -122.320538, -122.323238, -122.326722, -122.327038, -122.327438, -122.328538, -122.329087, -122.331138, -122.333838, -122.333738, 47.70702, 47.70322, 47.70322, 47.701445, 47.70142, 47.70142, 47.70312, 47.70312, 47.70132, 47.70132, 47.70122, 47.70122, 47.70392, 47.70672, 47.70842, 
47.71222, 47.71232, 47.71232, 47.71232, 47.712423, 47.71242, 47.71402, 47.71242, 47.712408, 47.71242, 47.71242, 47.70702))",2009,Population,93.01739528250071,0.15198920797794235,612
53033001300,highly_burdened,250,203,"list(c(-122.344639, -122.347339, -122.349939, -122.349939, -122.350039, -122.349839, -122.349939, -122.349939, -122.347339, -122.344539, -122.344539, -122.341939, -122.341839, -122.335038, -122.335038, -122.333738, -122.333738, -122.339339, -122.341939, -122.344639, -122.344639, 47.70662, 47.70662, 47.70652, 47.70512, 47.70292, 47.70152, 47.69972, 47.69792, 47.69782, 47.69782, 47.69712, 47.69712, 47.69772, 47.69782, 47.70132, 47.70322, 47.70702, 47.70702, 47.70692, 47.70702, 47.70662))",2009,Population,123.41523687808919,0.49366094751235673,250
