"FID_HRA_20","HRA2010v2_","Year","hh_size","tenure","estimate","moe","SE","CoV"
3,"Beacon/Gtown/S.Park",2014,0,"Total",14019.7998294035,925.778229482281,562.833199448935,0.0401455945375562
3,"Beacon/Gtown/S.Park",2014,1,"Owner",1717.48580265195,839.813005105353,510.570053982153,0.297277597982928
3,"Beacon/Gtown/S.Park",2014,1,"Renter",1930.54704883935,885.83836351406,538.551485067914,0.278963149534062
3,"Beacon/Gtown/S.Park",2014,2,"Owner",2160.16194061331,863.062071918224,524.704482986611,0.242900531261854
3,"Beacon/Gtown/S.Park",2014,2,"Renter",1679.15906097543,1028.61027608584,625.350644721037,0.372418944252827
3,"Beacon/Gtown/S.Park",2014,3,"Owner",1250.93348210284,698.980499715611,424.949970175208,0.339706288347851
3,"Beacon/Gtown/S.Park",2014,3,"Renter",988.404137690626,744.122542011704,452.394383195568,0.457701830601977
3,"Beacon/Gtown/S.Park",2014,4,"Owner",1412.59970347976,734.737509335689,446.688688462469,0.316217458747944
3,"Beacon/Gtown/S.Park",2014,4,"Renter",740.801547892223,699.558034233415,425.301086230972,0.574109337974612
3,"Beacon/Gtown/S.Park",2014,5,"Owner",390.027435447106,384.710093629736,233.887129727614,0.599668403991886
3,"Beacon/Gtown/S.Park",2014,5,"Renter",603.518458686223,565.325741493872,343.693646796786,0.569483239245011
3,"Beacon/Gtown/S.Park",2014,6,"Owner",269.597892921215,325.634652145521,197.971811479082,0.734322547309134
3,"Beacon/Gtown/S.Park",2014,6,"Renter",216.81975596594,365.320440462376,222.099057616118,1.02434880357954
3,"Beacon/Gtown/S.Park",2014,7,"Owner",373.39310168299,388.247668383778,236.037822467733,0.632142965158817
3,"Beacon/Gtown/S.Park",2014,7,"Renter",286.350460454581,410.44459612936,249.532596338112,0.8714237649277
3,"Beacon/Gtown/S.Park",2014,NA,"Owner",14019.7998294035,2788.80885655824,1695.47539724063,0.120934351265468
3,"Beacon/Gtown/S.Park",2019,0,"Total",15505.1994914718,1187.61466815652,722.018451184382,0.0465662148740176
3,"Beacon/Gtown/S.Park",2019,1,"Owner",1915.65826023132,842.843572939257,512.412508401347,0.267486387858903
3,"Beacon/Gtown/S.Park",2019,1,"Renter",2453.38130078227,1067.49179472135,648.988929610598,0.264528359046214
3,"Beacon/Gtown/S.Park",2019,2,"Owner",2734.90604269824,964.083569803826,586.121192796124,0.214311271994507
3,"Beacon/Gtown/S.Park",2019,2,"Renter",1788.38827271368,1015.90151372255,617.624265817135,0.345352446803936
3,"Beacon/Gtown/S.Park",2019,3,"Owner",1509.33486116006,753.726651875712,458.233267401823,0.303599472319634
3,"Beacon/Gtown/S.Park",2019,3,"Renter",1113.53996082906,811.06899015445,493.094933716177,0.442817456994589
3,"Beacon/Gtown/S.Park",2019,4,"Owner",1241.34909554992,677.111171530253,411.654362695599,0.331618530332304
3,"Beacon/Gtown/S.Park",2019,4,"Renter",776.308826067082,727.071502044443,442.028086956271,0.569397219397419
3,"Beacon/Gtown/S.Park",2019,5,"Owner",468.107168610989,424.761847897236,258.236867364592,0.55166185156031
