GEOID,variable,value,moe,summary_est,summary_moe,geometry,Year,short_label,SE,CoV,censored_est
53033000600,severely_burdened,0.2595356550580431,0.12106135272761069,1206,233,"list(c(-122.345139, -122.345039, -122.345039, -122.345039, -122.344739, -122.344739, -122.344739, -122.344639, -122.341939, -122.339339, -122.333738, -122.333838, -122.331138, -122.329087, -122.328538, -122.327438, -122.327038, -122.326722, -122.323238, -122.320538, -122.317738, -122.312338, -122.312505, -122.312599, -122.312575, -122.312438, -122.317938, -122.320738, -122.323438, -122.323438, -122.323438, -122.324238, -122.324607, -122.328839, -122.330239, -122.331539, -122.334139, -122.339639, 
-122.340939, -122.345139, -122.345139, 47.726819, 47.723319, 47.722519, 47.719719, 47.71342, 47.71252, 47.70822, 47.70702, 47.70692, 47.70702, 47.70702, 47.71242, 47.71242, 47.712408, 47.71242, 47.71402, 47.71242, 47.712423, 47.71232, 47.71232, 47.71232, 47.71222, 47.714006, 47.715844, 47.717646, 47.71952, 47.71962, 47.71962, 47.71962, 47.72192, 47.72312, 47.72352, 47.723772, 47.72612, 47.72682, 47.72742, 47.728619, 47.728619, 47.728719, 47.728619, 47.726819))",2009,Prevalence,0.07360007647123144,0.2835836812278119,0.2595356550580431
53033000700,highly_burdened,0.20027155465037338,0.12627291136672528,1473,177,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Prevalence,0.07676847915078995,0.3833219314885207,0.20027155465037338
53033000700,low_burden,0.5417515274949084,0.33197555713975724,1473,177,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Prevalence,0.20182680799083139,0.3725449726447301,0.5417515274949084
53033000700,severely_burdened,0.25797691785471827,0.09640189858544333,1473,177,"list(c(-122.312575, -122.312599, -122.312505, -122.312338, -122.306938, -122.306138, -122.301637, -122.299237, -122.292537, -122.291937, -122.290437, -122.290737, -122.291437, -122.291237, -122.290537, -122.292637, -122.295037, -122.296337, -122.298937, -122.300137, -122.301838, -122.307238, -122.309138, -122.312438, -122.312575, 47.717646, 47.715844, 47.714006, 47.71222, 47.71222, 47.71222, 47.71202, 47.71202, 47.71192, 47.71192, 47.71202, 47.71322, 47.71542, 47.71732, 47.71922, 47.71922, 47.71922, 
47.71922, 47.71912, 47.71912, 47.71932, 47.71942, 47.71942, 47.71952, 47.717646))",2009,Prevalence,0.05860819285428581,0.22718386335358684,0.25797691785471827
53033000800,highly_burdened,0.4448818897637795,0.46062961523686174,254,77,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Prevalence,0.28004292156413974,0.629477009533553,0.4448818897637795
53033000800,low_burden,0.3779527559055118,1.3228345687587137,254,77,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Prevalence,0.8042263135659192,2.1278487879764945,NA
53033000800,severely_burdened,0.17716535433070865,0.1653541955142354,254,77,"list(c(-122.291237, -122.291437, -122.290737, -122.290437, -122.290537, -122.290637, -122.290537, -122.286637, -122.285037, -122.281737, -122.280637, -122.278037, -122.279037, -122.280037, -122.280937, -122.281637, -122.283037, -122.283737, -122.284737, -122.285137, -122.286137, -122.290537, -122.291237, 47.71732, 47.71542, 47.71322, 47.71202, 47.71012, 47.70832, 47.70472, 47.70462, 47.70462, 47.70452, 47.70452, 47.70502, 47.70692, 47.70882, 47.71072, 47.71242, 47.71592, 47.71722, 47.71902, 47.71902, 
47.71912, 47.71922, 47.71732))",2009,Prevalence,0.10052821284815387,0.5674259125206907,0.17716535433070865
53033000900,highly_burdened,0.21875,0.7421874531567707,256,79,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Prevalence,0.4512179327058551,2.0627105495124805,NA
53033000900,low_burden,0.44140625,1.4218749004411484,256,79,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Prevalence,0.8644385598470631,1.958374082485382,NA
53033000900,severely_burdened,0.16015625,0.24218742305144775,256,79,"list(c(-122.284101, -122.284737, -122.283737, -122.283037, -122.281637, -122.280937, -122.280037, -122.279037, -122.278037, -122.277837, -122.277536, -122.277536, -122.276821, -122.276636, -122.271836, -122.272336, -122.254136, -122.261136, -122.267136, -122.278037, -122.279137, -122.280545, -122.283037, -122.283677, -122.284101, 47.719057, 47.71902, 47.71722, 47.71592, 47.71242, 47.71072, 47.70882, 47.70692, 47.70502, 47.70442, 47.70102, 47.69732, 47.696367, 47.69612, 47.69462, 47.69732, 47.69782, 
47.70802, 47.71882, 47.71892, 47.71882, 47.718928, 47.71912, 47.719079, 47.719057))",2009,Prevalence,0.1472394984472336,0.9193490634754098,0.16015625
