disasterNumber,declarationDate,incidentType,pwNumber,applicationTitle,applicantId,damageCategoryCode,dcc,damageCategory,projectSize,county,countyCode,state,stateCode,stateNumberCode,projectAmount,federalShareObligated,totalObligated,obligatedDate,hash,lastRefresh,id
1361,2001-03-01T05:00:00.000Z,Earthquake,833,"BUILDING DAMAGE - KENT JR. HIGH, & PINE TREE ELEMENTARY SCHOOL",033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1769.08,1326.81,1369,2001-11-21T04:17:49.000Z,3d9683fbc136ced7807ea0ce8464fb9540b22984,2021-07-14T16:34:13.655Z,5ee7598a556129600dd5ed89
1361,2001-03-01T05:00:00.000Z,Earthquake,834,BUILDING DAMAGE-- MEEKER JR. HIGH,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1327.9,995.93,1027.6,2001-11-09T20:24:01.000Z,fd2070af21f9d01022dfe27ee2f92bc8124d0e57,2021-07-14T16:34:13.656Z,5ee7598a556129600dd5ed8a
1361,2001-03-01T05:00:00.000Z,Earthquake,835,UTILITY DAMAGE - 1000 GALLON HOT WATER STORAGE TANK,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,42426.6,31819.95,32831.84,2002-01-17T05:51:14.000Z,b8ee0d9e27a69c037e5236c7b5c00016ea12523b,2021-07-14T16:34:13.656Z,5ee7598a556129600dd5ed8b
1361,2001-03-01T05:00:00.000Z,Earthquake,836,"BUILDING DAMAGE - KENTRIDGE HIGH, SUNRISE ELEM. & MERIDIAN JR. HIGH",033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1564.54,1173.41,1210.73,2001-11-21T04:17:49.000Z,aff1d80a5f9ed64212f6032fd6a5e15dfd2f5849,2021-07-14T16:34:13.657Z,5ee7598a556129600dd5ed8c
1361,2001-03-01T05:00:00.000Z,Earthquake,837,BUILDING DAMAGE - MERIDIAN JR. HIGH & SEQUOIA JR. HIGH,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1309.77,982.33,1013.57,2001-11-21T04:17:49.000Z,a3683fa86d7fd9743d4a8ebb5c33df97a2e670ff,2021-07-14T16:34:13.657Z,5ee7598a556129600dd5ed8d
1361,2001-03-01T05:00:00.000Z,Earthquake,841,BUILDING DAMAGE-- KENTWOOD H.S. & MERIDIAN ELEMENTARY SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1309.26,981.95,1013.17,2001-11-09T20:24:01.000Z,efa7dfac10c63cf396f6b04d19572f797262c81f,2021-07-14T16:34:13.659Z,5ee7598a556129600dd5ed91
1361,2001-03-01T05:00:00.000Z,Earthquake,842,BUILDING DAMAGE - 3 SITES,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1853.41,1390.06,1434.25,2002-01-17T05:51:14.000Z,3e2a075b21e1b529c456e865563c9a168bacc687,2021-07-14T16:34:13.660Z,5ee7598a556129600dd5ed92
1361,2001-03-01T05:00:00.000Z,Earthquake,843,BUILDING DAMAGE - COVINGTON ELEMENTARY SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,2141.71,1606.28,1657.37,2001-11-09T20:24:01.000Z,7b99231237b4508389d7c0f315882d79e0de012c,2021-07-14T16:34:13.660Z,5ee7598a556129600dd5ed93
1361,2001-03-01T05:00:00.000Z,Earthquake,844,BUILDING DAMAGE - MATTSON JUNIOR HIGH SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,41389.7,31042.28,32029.42,2001-11-09T20:24:01.000Z,2ef150571b42c43c1bb24d58018a3e437250257d,2021-07-14T16:34:13.661Z,5ee7598a556129600dd5ed94
1361,2001-03-01T05:00:00.000Z,Earthquake,847,BUILDING DAMAGE-- NORTHWOOD JR. HIGH SCHOOL,033-UA5P4-00,E - Public Buildings,E,Public Buildings,Small,King,33,Washington,WA,53,1031.7,773.78,798.38,2001-11-21T04:17:49.000Z,5bf522b73f55d5baae99ad50025fe8806c919752,2021-07-14T16:34:13.666Z,5ee7598a556129600dd5ed97
