source,GEOID,Year,variable,mean,up,low
NA,Renton-North,2001,Average household size among renters,2.6021363831340887,3.0832597889646616,2.139978013992296
NA,Renton-South,2001,Average household size among renters,2.4871557369821655,2.9680303838166457,2.0250759550368573
NA,Sammamish,2001,Average household size among renters,2.095601062709684,2.5763214663912337,1.6332099539326281
NA,SE Seattle,2001,Average household size among renters,1.6210459147038456,2.101773801120084,1.158347413617178
NA,SeaTac/Tukwila,2001,Average household size among renters,2.3170942136649244,2.7979104324563915,1.8549161201605628
NA,Shoreline,2001,Average household size among renters,1.6938372058409787,2.1744217989246497,1.2316789702423918
NA,Snoqualmie/North Bend/Skykomish,2001,Average household size among renters,2.172737980598377,2.6465149382744992,1.7135179577975868
NA,Vashon Island,2001,Average household size among renters,2.2613745419437783,2.7424422958175803,1.7989720088724188
NA,West Seattle,2001,Average household size among renters,1.814974693829032,2.295687520751958,1.3524528030710756
NA,Auburn-North,2002,Average household size among renters,2.1879681837423877,2.6622073086059603,1.7290830790311296
NA,Auburn-South,2002,Average household size among renters,2.1260397365972996,2.600461617610221,1.6670040024577608
NA,Ballard,2002,Average household size among renters,2.1145398195303393,2.589041321069451,1.655664667538607
NA,Beacon/Gtown/S.Park,2002,Average household size among renters,1.823801033400584,2.2978117039004657,1.3648518320185314
NA,Bear Creek/Carnation/Duvall,2002,Average household size among renters,2.221084476929541,2.6885244931551138,1.7651877380494634
NA,Bellevue-Central,2002,Average household size among renters,2.5157155747572832,2.990367139000633,2.056916942266773
NA,Bellevue-NE,2002,Average household size among renters,2.10481114300776,2.5790364248564073,1.645965518691037
NA,Bellevue-South,2002,Average household size among renters,2.8197483197462767,3.2944626280645215,2.361137079938413
NA,Bellevue-West,2002,Average household size among renters,1.8946639635574904,2.369018007004949,1.4355429545705347
NA,Black Diamond/Enumclaw/SE County,2002,Average household size among renters,2.0059117109664992,2.4732446044965735,1.549885386519886
NA,Bothell/Woodinville,2002,Average household size among renters,1.5371400710264724,2.011223332834435,1.0778954225945878
NA,Burien,2002,Average household size among renters,2.3506201938589624,2.825057800248134,1.8918481241659082
NA,Capitol Hill/E.lake,2002,Average household size among renters,1.9379501769124763,2.4122086675783794,1.479091207179858
NA,Central Seattle,2002,Average household size among renters,1.9947181650516796,2.4677474856730264,1.5446194144429235
NA,Covington/Maple Valley,2002,Average household size among renters,2.2989605260072765,2.7664288155470116,1.8430961525021667
NA,Delridge,2002,Average household size among renters,1.7724297575447678,2.2466495164351827,1.3132335591083337
NA,Des Moines/Normandy Park,2002,Average household size among renters,2.376946381002596,2.8514484599976817,1.918148674341151
NA,Downtown,2002,Average household size among renters,1.9847536549555347,2.459046221179311,1.5258893604697998
NA,East Federal Way,2002,Average household size among renters,2.1242885245134637,2.5985731898208786,1.6654097511144097
NA,Fairwood,2002,Average household size among renters,3.1216250278247446,3.5965215172848968,2.6631003780716846
NA,Fed Way-Central/Military Rd,2002,Average household size among renters,2.3217152761828515,2.7962629477565804,1.8627219204745322
NA,Fed Way-Dash Point/Woodmont,2002,Average household size among renters,2.237107344738729,2.7115345610897177,1.778208068488639
NA,Fremont/Greenlake,2002,Average household size among renters,2.1063284776589275,2.5805773807566794,1.6476161646969205
NA,Issaquah,2002,Average household size among renters,2.504574171099422,2.9790903220960008,2.045862959626854
NA,Kenmore/LFP,2002,Average household size among renters,1.758340234481751,2.232560220473924,1.2993354318648913
NA,Kent-East,2002,Average household size among renters,2.814662244053001,3.28926080725253,2.356102609785525
NA,Kent-SE,2002,Average household size among renters,2.4299158338897264,2.904285456805327,1.9712004868726205
NA,Kent-West,2002,Average household size among renters,2.1894890798628572,2.6637984769632514,1.730683043071741
NA,Kirkland,2002,Average household size among renters,2.0118523155103927,2.486013136061665,1.553016853123344
NA,Kirkland North,2002,Average household size among renters,1.7309968319370503,2.205041937749968,1.2719931029428433
NA,Mercer Isle/Pt Cities,2002,Average household size among renters,2.831902067899345,3.3066462833824026,2.3732634400759136
NA,NE Seattle,2002,Average household size among renters,2.1126171037840913,2.5806648545839432,1.6628362967362795
NA,Newcastle/Four Creeks,2002,Average household size among renters,2.34613600018682,2.8136537197018763,1.8902960092594197
NA,North Highline,2002,Average household size among renters,2.8324581170270937,3.3074578237627708,2.37373850722098
