Year,GEOID,pop,hh,average_hhsize
2030,Bellevue-South,33694.249130044685,14355.325080896642,2.347160300457656
2030,Bellevue-West,34735.343851093014,15095.866308621118,2.3009838018541515
2030,Black Diamond/Enumclaw/SE County,61509.13099343147,26471.782802672675,2.3235734235180154
2030,Bothell/Woodinville,41035.99202717681,17082.713407381834,2.402194022024874
2030,Burien,52492.67001310107,21158.757743920203,2.4808956484311757
2030,Capitol Hill/E.lake,58767.90155271766,26182.457562541575,2.244552537222291
2030,Central Seattle,57001.62887050356,24029.570345705437,2.3721451549253727
2030,Covington/Maple Valley,70669.94339422799,29071.336153766373,2.430914871625956
2030,Delridge,39544.597206589744,15424.142297253122,2.5638117468374384
2030,Des Moines/Normandy Park,40676.566389861604,16834.986586245224,2.4161923849167652
2030,Downtown,59628.768113898,28168.041141271224,2.1168943844849464
2030,East Federal Way,48115.6329079816,19388.991317166696,2.4815954641942
2030,Fairwood,28840.572073079828,11950.354054186031,2.4133654904540176
2030,Fed Way-Central/Military Rd,72202.63678467665,28320.742981339947,2.5494612493835254
2030,Fed Way-Dash Point/Woodmont,38299.88763881125,15256.433004351129,2.5104090600921025
2030,Fremont/Greenlake,65165.28897976037,27547.56862748856,2.365555009988601
2030,Issaquah,21493.00773636611,9092.425228072663,2.3638366219396474
2030,Kenmore/LFP,41271.716470955296,17708.227733612963,2.3306520049217108
2030,Kent-East,43093.639998897976,17126.746723483902,2.516160289788645
2030,Kent-SE,64909.62884370971,25442.89784460143,2.5511885179180753
2030,Kent-West,32028.76299191132,12366.18607306449,2.590027580263816
2030,Kirkland,56525.85977834108,24000.397809863283,2.355205118938113
2030,Kirkland North,38834.38692826646,16448.957297062643,2.360902653398053
2030,Mercer Isle/Pt Cities,32132.220192452765,14058.610979134624,2.2855899661881574
2030,NE Seattle,86384.24867753802,32980.87692266542,2.6192223111621464
2030,Newcastle/Four Creeks,46684.28169614655,19760.09980563372,2.3625529301646844
2030,North Highline,22851.115866630793,8905.561408297312,2.5659377122862135
2030,North Seattle,53528.479145217454,22621.063622500962,2.366311329939993
2030,NW Seattle,52375.25813513075,22469.236686074437,2.330976297365318
2030,QA/Magnolia,73273.09205655215,32005.22609600799,2.289410230590169
2030,Redmond,62304.136196978376,25611.23398963549,2.4326877893580603
2030,Renton-East,34477.97342169584,13820.739560052845,2.494654737677729
2030,Renton-North,37364.47380908836,15178.638201363687,2.461648621793452
2030,Renton-South,66535.7475838133,26465.51464641825,2.5140545526031555
2030,Sammamish,49864.25865578638,20368.259256197274,2.448135504786184
2030,SE Seattle,51714.842532333314,21091.553345147055,2.4519219464806445
2030,SeaTac/Tukwila,58866.790027632844,23235.716550915327,2.5334613588800168
2030,Shoreline,58473.4781173895,25499.563181538007,2.2931168546340044
2030,Snoqualmie/North Bend/Skykomish,63073.210755154665,25286.233358383404,2.494369559167394
2030,Vashon Island,10721.459460667575,5078.287638276995,2.1112351690864926
2030,West Seattle,58388.33647747455,26008.415142848095,2.2449786408277332
2035,Auburn-North,52187.587756226494,21093.98031987474,2.474051220530218
2035,Auburn-South,31874.6983996903,12594.679686507763,2.530806593980833
2035,Ballard,63712.731754853536,28057.18152659317,2.270817248498938
2035,Beacon/Gtown/S.Park,52678.80857028552,21323.644630099043,2.4704411222426583
2035,Bear Creek/Carnation/Duvall,100526.85761604362,42612.85014864723,2.3590737832689865
2035,Bellevue-Central,45475.486505202214,18558.736627244336,2.45035464528571
2035,Bellevue-NE,42079.66329228595,17898.028509243795,2.351078124082385
2035,Bellevue-South,35460.67277881252,15088.73637086736,2.350141980562293
2035,Bellevue-West,35921.29285122428,15514.141575818481,2.3153902957295385
2035,Black Diamond/Enumclaw/SE County,64098.621183229,27527.627324903573,2.3285196514281687
2035,Bothell/Woodinville,43036.66186935617,17989.76101012383,2.392286470350388
2035,Burien,55388.71647991539,22280.31187627129,2.485993768287634
2035,Capitol Hill/E.lake,59534.48205232567,26136.153873593343,2.2778593338661173
2035,Central Seattle,59681.43182935101,24725.106285229554,2.413798797904618
2035,Covington/Maple Valley,75093.14073386465,31254.10969518207,2.4026645284808903
2035,Delridge,42160.63773699618,16577.79267402885,2.543199723027421
2035,Des Moines/Normandy Park,42543.15930610859,17509.095414721287,2.42977482836373
2035,Downtown,59564.17027413215,27472.73384733993,2.1681195109710387
2035,East Federal Way,51309.145896743015,20736.37372600852,2.4743548016010486
2035,Fairwood,30392.209811258133,12626.973154051188,2.406927570088895
2035,Fed Way-Central/Military Rd,77174.55199692442,30364.741146412423,2.5415843864699816
2035,Fed Way-Dash Point/Woodmont,40551.823923392614,16149.077443565933,2.5110922939780163
2035,Fremont/Greenlake,67230.27129212658,28160.28739146195,2.3874142460815384
2035,Issaquah,22472.324016866936,9571.848022563172,2.3477518619073567
2035,Kenmore/LFP,42805.975431005456,18384.51182420746,2.3283716119479165
2035,Kent-East,46118.85201608709,18397.11278203138,2.5068527090365924
2035,Kent-SE,69568.58133267614,27544.12774233041,2.5257137195802954
2035,Kent-West,34115.76127044316,13238.585206412354,2.5769945004333663
2035,Kirkland,58572.746333266274,24972.124661846694,2.3455251455938715
2035,Kirkland North,40359.27666249248,17166.17264822883,2.3510934842343363
2035,Mercer Isle/Pt Cities,33359.11979948038,14550.170602154823,2.292696127874956
2035,NE Seattle,89972.08950839174,34178.201021566856,2.632440761045857
2035,Newcastle/Four Creeks,48906.52243659032,20815.41431362306,2.349533941516719
2035,North Highline,24432.573903737055,9548.671594158064,2.5587406230082363
2035,North Seattle,55568.17350520251,23328.49458402418,2.3819871147303564
2035,NW Seattle,53836.14363371185,22965.37663960685,2.344230816613922
2035,QA/Magnolia,74967.4854634251,32373.349798432642,2.31571604205922
2035,Redmond,65725.573347167,27387.047189639234,2.399878047898189
2035,Renton-East,36576.464289360796,14822.249502465178,2.467672959038879
2035,Renton-North,39386.142804498326,16004.008323188598,2.461017390713974
2035,Renton-South,70702.00073354876,28247.69664168053,2.5029297655804377
2035,Sammamish,53795.99812118429,22425.08468585304,2.39892062281137
2035,SE Seattle,54805.26519574207,22382.14629783103,2.448615269798904
2035,SeaTac/Tukwila,62689.13305835054,24846.36713062137,2.5230703840438173
2035,Shoreline,60223.61618201262,26034.913082187497,2.313186757793183
2035,Snoqualmie/North Bend/Skykomish,68001.26963009595,28082.472930448686,2.421484382750528
2035,Vashon Island,10666.55726215814,5003.991801289458,2.1316096599937513
2035,West Seattle,59226.15777494015,26401.589200569466,2.2432800285242935
2040,Auburn-North,55472.649254902426,22332.200570778317,2.48397595566504
2040,Auburn-South,33965.5625353054,13397.297137571404,2.535254849282421
2040,Ballard,65461.82603586568,29020.847284724277,2.255682799113962
2040,Beacon/Gtown/S.Park,55496.36931956576,22460.952037853625,2.4707932783097206
2040,Bear Creek/Carnation/Duvall,106913.81228389745,44965.28035895515,2.377697001562336
2040,Bellevue-Central,48312.42280648871,19767.382143759114,2.444047595940352
2040,Bellevue-NE,44017.41622027243,18599.11996832486,2.366639727860032
2040,Bellevue-South,37153.16305568766,15553.366222937628,2.3887538249369653
2040,Bellevue-West,37350.508087031485,16039.436102798798,2.3286671581000293
2040,Black Diamond/Enumclaw/SE County,66601.405213093,28302.628143155547,2.353188010534608
2040,Bothell/Woodinville,45141.37580448659,18812.132474734553,2.399588449906637
2040,Burien,58418.416642156335,23304.804264250448,2.5067113192523203
2040,Capitol Hill/E.lake,60797.566476378,26769.732959240984,2.2711308539740407
2040,Central Seattle,62547.88590632556,25864.191141490734,2.418319813836656
2040,Covington/Maple Valley,79536.2325425352,32941.6315064434,2.414459421263876
2040,Delridge,45001.97758158272,17827.652821268162,2.5242794456876534
2040,Des Moines/Normandy Park,44509.39724386578,18127.39925526808,2.4553658590010214
2040,Downtown,60008.7761023153,27582.628219270875,2.175600367929753
2040,East Federal Way,54447.71929886158,21878.488648188886,2.488641705302107
2040,Fairwood,31923.8972499645,13200.28294428869,2.418425225027231
2040,Fed Way-Central/Military Rd,82096.66931262576,32262.445969044013,2.5446511213501277
2040,Fed Way-Dash Point/Woodmont,42845.71560352921,16960.742343472375,2.5261698300616597
2040,Fremont/Greenlake,69742.41393133666,29590.33417394722,2.3569322847574092
2040,Issaquah,23585.626088652865,10005.386483023474,2.35729285706969
2040,Kenmore/LFP,44377.48296704081,18922.942893486244,2.345168149417005
2040,Kent-East,49151.03676391205,19538.357459597322,2.5156176441929543
2040,Kent-SE,74281.06255310988,29511.561711013295,2.5170156456135375
2040,Kent-West,36362.55576984928,14143.09474653043,2.5710466076577547
2040,Kirkland,60742.282822596535,25934.558442548056,2.34213676539575
2040,Kirkland North,41924.296496908675,17810.55187113861,2.353902158688612
2040,Mercer Isle/Pt Cities,34598.452177964136,14754.790214643232,2.3448962455343674
2040,NE Seattle,93569.75034617948,35723.12228700058,2.6193049306955154
2040,Newcastle/Four Creeks,51229.93849344784,21654.16569474337,2.3658237041145433
2040,North Highline,26077.567321907267,10143.365983085512,2.5708987889614456
2040,North Seattle,57695.62117990732,24256.89704526237,2.378524387197986
2040,NW Seattle,55535.4426234129,23748.676689618333,2.3384647216023646
2040,QA/Magnolia,77028.31806408777,33309.87376498225,2.312477033313333
2040,Redmond,69924.05604177438,29424.68544876951,2.37637395184792
2040,Renton-East,38883.96799847619,15789.303630064529,2.4626778298465895
2040,Renton-North,41580.6874787059,16931.811941530592,2.455773051478099
2040,Renton-South,75051.58024683435,30080.886407633618,2.494992309395129
2040,Sammamish,57903.84157055337,23995.84482490534,2.413077847146888
2040,SE Seattle,58082.44736874744,23627.533152891694,2.458252708520226
2040,SeaTac/Tukwila,66709.85212994959,26392.13879676761,2.527641001119618
2040,Shoreline,61921.84041858242,26523.334851410636,2.3346174515942937
2040,Snoqualmie/North Bend/Skykomish,73632.63904260522,30606.986830485574,2.40574609485128
2040,Vashon Island,10596.101161815493,4841.896181522188,2.1884197356921242
2040,West Seattle,60425.17474261454,26852.497720472467,2.250262726828056
2045,Auburn-North,58649.55473669098,23567.184485658116,2.488611007920032
2045,Auburn-South,35972.816007471585,14156.111123616547,2.5411510049153523
2045,Ballard,67614.31128787537,30028.560579471603,2.2516667460277295
2045,Beacon/Gtown/S.Park,58358.207350898505,23540.11937551525,2.479095641783301
2045,Bear Creek/Carnation/Duvall,112772.2353684575,46757.87081647586,2.4118342730165647
2045,Bellevue-Central,51326.08764481936,20977.128240337326,2.4467642594720584
2045,Bellevue-NE,46060.964537249805,19316.741157069868,2.384510107720299
2045,Bellevue-South,38654.34953173518,15972.096648253011,2.4201174324826726
2045,Bellevue-West,39214.83165909725,16762.028474649942,2.3395039400156024
2045,Black Diamond/Enumclaw/SE County,68781.44812347053,28978.91814318923,2.373499513805552
2045,Bothell/Woodinville,47186.09803709189,19574.8342878295,2.4105490418598063
2045,Burien,61460.295733270956,24317.60509595472,2.5273992027897103
2045,Capitol Hill/E.lake,63628.04173289967,28256.02999598,2.2518394035521645
