source,GEOID,Year,variable,mean,up,low
Census,Fed Way-Central/Military Rd,2000,Average household size among owners,2.636081284355509,2.7003609789334013,2.5717357663924183
Census,Fed Way-Dash Point/Woodmont,2000,Average household size among owners,2.644511002914409,2.7086712535628443,2.580264824695869
Census,Fremont/Greenlake,2000,Average household size among owners,2.3344612747312414,2.3984081951324887,2.2704941996227888
Census,Issaquah,2000,Average household size among owners,2.5572220463226416,2.621440248487696,2.4930261178392947
Census,Kenmore/LFP,2000,Average household size among owners,2.1225931425718754,2.1794438471799578,2.0658674549529956
Census,Kent-East,2000,Average household size among owners,2.6757483665539725,2.7397752004836864,2.6116234857314278
Census,Kent-SE,2000,Average household size among owners,2.591065008290397,2.6550578808258254,2.527028296139475
Census,Kent-West,2000,Average household size among owners,2.631090407386268,2.6950405638139228,2.5670627515676965
Census,Kirkland,2000,Average household size among owners,2.431665030256842,2.495640780425337,2.3676742258134817
Census,Kirkland North,2000,Average household size among owners,2.1109299253665124,2.1751680266844278,2.046884938894137
Census,Mercer Isle/Pt Cities,2000,Average household size among owners,2.7841289744439464,2.8482990253284712,2.719628155119909
Census,NE Seattle,2000,Average household size among owners,2.3174117400391507,2.3740154083652536,2.260789681793337
Census,Newcastle/Four Creeks,2000,Average household size among owners,2.630762065558035,2.6946968593476153,2.566776535268825
Census,North Highline,2000,Average household size among owners,2.6629467030058653,2.7271355260817667,2.5984678098228566
Census,North Seattle,2000,Average household size among owners,2.3161482036461494,2.3726304516555103,2.259568897177896
Census,NW Seattle,2000,Average household size among owners,2.368681752814835,2.4327613997716533,2.3045028350275403
Census,QA/Magnolia,2000,Average household size among owners,2.353786931562549,2.4176384227625305,2.289903151430107
Census,Redmond,2000,Average household size among owners,2.3479431459637765,2.4046912055255225,2.2913088790418836
Census,Renton-East,2000,Average household size among owners,2.5723460359708437,2.6365770802529473,2.5081613187649947
Census,Renton-North,2000,Average household size among owners,2.6871622285817183,2.7513049588001137,2.6228878601131393
Census,Renton-South,2000,Average household size among owners,2.753368025946491,2.8172327859722284,2.689287930821557
Census,Sammamish,2000,Average household size among owners,2.577278241184851,2.6412823514537633,2.5131429576304862
Census,SE Seattle,2000,Average household size among owners,1.9931763047874784,2.05806745797406,1.9288452029023648
Census,SeaTac/Tukwila,2000,Average household size among owners,2.6349829094007067,2.6988561616485556,2.5709353952237852
Census,Shoreline,2000,Average household size among owners,2.0982721219289857,2.1625102544717554,2.03417522955792
Census,Snoqualmie/North Bend/Skykomish,2000,Average household size among owners,2.542452065878338,2.6064095430927794,2.478473281033008
Census,Vashon Island,2000,Average household size among owners,2.535184362161916,2.599431097919766,2.4708541857952677
Census,West Seattle,2000,Average household size among owners,2.143114899037799,2.2074569274308744,2.0790521503053676
NA,Auburn-North,2001,Average household size among owners,2.600220703367903,3.258818815415562,1.953653296671253
NA,Auburn-South,2001,Average household size among owners,2.4536123184004133,3.1122486348267717,1.8070096057067162
NA,Ballard,2001,Average household size among owners,2.424313367619404,3.082907539365234,1.777784711612699
NA,Beacon/Gtown/S.Park,2001,Average household size among owners,2.3691376765725876,3.027678355070911,1.7225900114960984
NA,Bear Creek/Carnation/Duvall,2001,Average household size among owners,2.452928520110069,3.109760910480272,1.8069145192734497
NA,Bellevue-Central,2001,Average household size among owners,2.8372205820974896,3.4959057535097378,2.1906564775596253
NA,Bellevue-NE,2001,Average household size among owners,2.5258681431657783,3.184610139400963,1.879425481688382
NA,Bellevue-South,2001,Average household size among owners,3.2126698718634437,3.8711932609248194,2.565863292312537
NA,Bellevue-West,2001,Average household size among owners,2.4028554888165288,3.0618049695567446,1.7565247706034404
NA,Black Diamond/Enumclaw/SE County,2001,Average household size among owners,2.6301179751009234,3.288720246780078,1.9835573259570953
NA,Bothell/Woodinville,2001,Average household size among owners,1.9579080036066923,2.6164988037787444,1.3112756733117128
NA,Burien,2001,Average household size among owners,2.6504801042337314,3.3091031567942726,2.003936469883546
NA,Capitol Hill/E.lake,2001,Average household size among owners,2.4498070896527255,3.1083395052042317,1.8032533151798367
NA,Central Seattle,2001,Average household size among owners,2.381302566898601,3.039035432722748,1.7363510138100176
NA,Covington/Maple Valley,2001,Average household size among owners,2.7188622096593864,3.377478795549049,2.072321155255992
NA,Delridge,2001,Average household size among owners,2.274814384784378,2.933442740265119,1.628216439338142
